cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Maréchal Foch noir,Drôme rosé,IGP,Rosé,Rhône
Prunelard noir,Périgord Vin de Domme rouge,IGP,Rouge,Bordeaux
Cot noir,Touraine Amboise rosé,AOC/AOP,Rosé,Loire
Chardonnay blanc,Beaune premier cru Les Sizies blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Saint-Nicolas-de-Bourgueil rosé,AOC/AOP,Rosé,Loire
Sauvignon gris,Pays d'Oc blanc,IGP,Blanc,Languedoc-roussillon
Chardonnay blanc,Givry premier cru Le Pied de Chaume blanc,AOC/AOP,Blanc,Bourgogne
Syrah noir,Corbières rouge,AOC/AOP,Rouge,Languedoc-roussillon
Muscadelle blanc,Sainte-Foy-Bordeaux blanc moelleux,AOC/AOP,Blanc,Bordeaux
Sauvignon gris,Pessac-Léognan blanc,AOC/AOP,Blanc,Bordeaux
Pinot noir,Puligny-Montrachet premier cru Clos de la Garenne rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Mâcon Serrières rosé,AOC/AOP,Rosé,Bourgogne
Gringet blanc,Vin de Savoie Ayze,AOC/AOP,Blanc,Savoie bugey
Chardonnay blanc,Chassagne-Montrachet premier cru Les Macherelles blanc,AOC/AOP,Blanc,Bourgogne
Varousset noir,Var rouge,IGP,Rouge,Provence-corse
Gewurztraminer rosé,Alsace grand cru sporen gewurztraminer,AOC/AOP,Blanc,Alsace
Riesling blanc,Alsace grand cru gloeckelberg grains nobles riesling,AOC/AOP,Blanc,Alsace
Fer-servadou noir,Périgord rouge,IGP,Rouge,Bordeaux
Cot noir,Bergerac rosé,AOC/AOP,Rosé,Sud-ouest
Maréchal Foch noir,Var rouge,IGP,Rouge,Provence-corse
Gros Manseng blanc,Pays d'Oc blanc mousseux,IGP,Blanc,Languedoc-roussillon
Cabernet-Sauvignon noir,Côtes du Tarn rouge,IGP,Rouge,Sud-ouest
Pinot noir,Chassagne-Montrachet premier cru En Remilly rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Beaujolais Leynes rouge nouveau,AOC/AOP,Rouge,Beaujolais
Grenache noir,Languedoc La Clape rosé,AOC/AOP,Rosé,Languedoc-roussillon
Petit Courbu blanc,Pacherenc du Vic-Bilh,AOC/AOP,Blanc,Sud-ouest
Arriloba blanc,Puy-de-Dôme blanc,IGP,Blanc,Loire
Chardonnay blanc,Bourgogne blanc,AOC/AOP,Blanc,Bourgogne
Pinot blanc,Bourgogne Côte Chalonnaise blanc,AOC/AOP,Blanc,Bourgogne
Rayon d'or blanc,Pays d'Hérault rosé,IGP,Rosé,Languedoc-roussillon
Viognier blanc,Pays d'Oc blanc,IGP,Blanc,Languedoc-roussillon
Muscat Ottonel blanc,Alsace vendanges tardives Muscat,AOC/AOP,Blanc,Alsace
Grenache gris,Châteauneuf-du-Pape rouge,AOC/AOP,Rouge,Rhône
